FFT
power: 4
N:  1296
N1: 216
N2: 36
N3: 6
0,5,3,5	203->1218
0,5,4,0	204->174
0,5,4,1	205->390
0,5,4,2	206->606
0,5,4,3	207->822
0,5,4,4	208->1038
0,5,4,5	209->1254
0,5,5,0	210->210
0,5,5,1	211->426
0,5,5,2	212->642
0,5,5,3	213->858
0,5,5,4	214->1074
0,5,5,5	215->1290
1,0,0,0	216->1
1,0,0,1	217->217
1,0,0,2	218->433
1,0,0,3	219->649
1,0,0,4	220->865
1,0,0,5	221->1081
1,0,1,0	222->37
1,0,1,1	223->253
1,0,1,2	224->469
1,0,1,3	225->685
1,0,1,4	226->901
1,0,1,5	227->1117
1,0,2,0	228->73
1,0,2,1	229->289
1,0,2,2	230->505
1,0,2,3	231->721
1,0,2,4	232->937
1,0,2,5	233->1153
1,0,3,0	234->109
1,0,3,1	235->325
1,0,3,2	236->541
1,0,3,3	237->757
1,0,3,4	238->973
1,0,3,5	239->1189
1,0,4,0	240->145
1,0,4,1	241->361
1,0,4,2	242->577
1,0,4,3	243->793
1,0,4,4	244->1009
1,0,4,5	245->1225
1,0,5,0	246->181
1,0,5,1	247->397
1,0,5,2	248->613
1,0,5,3	249->829
1,0,5,4	250->1045
1,0,5,5	251->1261
1,1,0,0	252->7
1,1,0,1	253->223
1,1,0,2	254->439
1,1,0,3	255->655
1,1,0,4	256->871
1,1,0,5	257->1087
1,1,1,0	258->43
1,1,1,1	259->259
1,1,1,2	260->475
1,1,1,3	261->691
1,1,1,4	262->907
1,1,1,5	263->1123
1,1,2,0	264->79
1,1,2,1	265->295
1,1,2,2	266->511
1,1,2,3	267->727
1,1,2,4	268->943
1,1,2,5	269->1159
1,1,3,0	270->115
1,1,3,1	271->331
1,1,3,2	272->547
1,1,3,3	273->763
1,1,3,4	274->979
1,1,3,5	275->1195
1,1,4,0	276->151
1,1,4,1	277->367
1,1,4,2	278->583
1,1,4,3	279->799
1,1,4,4	280->1015
1,1,4,5	281->1231
1,1,5,0	282->187
1,1,5,1	283->403
1,1,5,2	284->619
1,1,5,3	285->835
1,1,5,4	286->1051
1,1,5,5	287->1267
1,2,0,0	288->13
1,2,0,1	289->229
1,2,0,2	290->445
1,2,0,3	291->661
1,2,0,4	292->877
1,2,0,5	293->1093
1,2,1,0	294->49
1,2,1,1	295->265
1,2,1,2	296->481
1,2,1,3	297->697
1,2,1,4	298->913
1,2,1,5	299->1129
1,2,2,0	300->85
1,2,2,1	301->301
1,2,2,2	302->517
1,2,2,3	303->733
1,2,2,4	304->949
1,2,2,5	305->1165
1,2,3,0	306->121
1,2,3,1	307->337
1,2,3,2	308->553
1,2,3,3	309->769
1,2,3,4	310->985
1,2,3,5	311->1201
1,2,4,0	312->157
1,2,4,1	313->373
1,2,4,2	314->589
1,2,4,3	315->805
1,2,4,4	316->1021
1,2,4,5	317->1237
1,2,5,0	318->193
1,2,5,1	319->409
1,2,5,2	320->625
1,2,5,3	321->841
1,2,5,4	322->1057
1,2,5,5	323->1273
1,3,0,0	324->19
1,3,0,1	325->235
1,3,0,2	326->451
1,3,0,3	327->667
1,3,0,4	328->883
1,3,0,5	329->1099
1,3,1,0	330->55
1,3,1,1	331->271
1,3,1,2	332->487
1,3,1,3	333->703
1,3,1,4	334->919
1,3,1,5	335->1135
1,3,2,0	336->91
1,3,2,1	337->307
1,3,2,2	338->523
1,3,2,3	339->739
1,3,2,4	340->955
1,3,2,5	341->1171
1,3,3,0	342->127
1,3,3,1	343->343
1,3,3,2	344->559
1,3,3,3	345->775
1,3,3,4	346->991
1,3,3,5	347->1207
1,3,4,0	348->163
1,3,4,1	349->379
1,3,4,2	350->595
1,3,4,3	351->811
1,3,4,4	352->1027
1,3,4,5	353->1243
1,3,5,0	354->199
1,3,5,1	355->415
1,3,5,2	356->631
1,3,5,3	357->847
1,3,5,4	358->1063
1,3,5,5	359->1279
1,4,0,0	360->25
1,4,0,1	361->241
1,4,0,2	362->457
1,4,0,3	363->673
1,4,0,4	364->889
1,4,0,5	365->1105
1,4,1,0	366->61
1,4,1,1	367->277
1,4,1,2	368->493
1,4,1,3	369->709
1,4,1,4	370->925
1,4,1,5	371->1141
1,4,2,0	372->97
1,4,2,1	373->313
1,4,2,2	374->529
1,4,2,3	375->745
1,4,2,4	376->961
1,4,2,5	377->1177
1,4,3,0	378->133
1,4,3,1	379->349
1,4,3,2	380->565
1,4,3,3	381->781
1,4,3,4	382->997
1,4,3,5	383->1213
1,4,4,0	384->169
1,4,4,1	385->385
1,4,4,2	386->601
1,4,4,3	387->817
1,4,4,4	388->1033
1,4,4,5	389->1249
1,4,5,0	390->205
1,4,5,1	391->421
1,4,5,2	392->637
1,4,5,3	393->853
1,4,5,4	394->1069
1,4,5,5	395->1285
1,5,0,0	396->31
1,5,0,1	397->247
1,5,0,2	398->463
1,5,0,3	399->679
1,5,0,4	400->895
1,5,0,5	401->1111
1,5,1,0	402->67
1,5,1,1	403->283
1,5,1,2	404->499
1,5,1,3	405->715
1,5,1,4	406->931
1,5,1,5	407->1147
1,5,2,0	408->103
1,5,2,1	409->319
1,5,2,2	410->535
1,5,2,3	411->751
1,5,2,4	412->967
1,5,2,5	413->1183
1,5,3,0	414->139
1,5,3,1	415->355
1,5,3,2	416->571
1,5,3,3	417->787
1,5,3,4	418->1003
1,5,3,5	419->1219
1,5,4,0	420->175
1,5,4,1	421->391
1,5,4,2	422->607
1,5,4,3	423->823
1,5,4,4	424->1039
1,5,4,5	425->1255
1,5,5,0	426->211
1,5,5,1	427->427
1,5,5,2	428->643
1,5,5,3	429->859
1,5,5,4	430->1075
1,5,5,5	431->1291
2,0,0,0	432->2
2,0,0,1	433->218
2,0,0,2	434->434
2,0,0,3	435->650
2,0,0,4	436->866
2,0,0,5	437->1082
2,0,1,0	438->38
2,0,1,1	439->254
2,0,1,2	440->470
2,0,1,3	441->686
2,0,1,4	442->902
2,0,1,5	443->1118
2,0,2,0	444->74
2,0,2,1	445->290
2,0,2,2	446->506
2,0,2,3	447->722
2,0,2,4	448->938
2,0,2,5	449->1154
2,0,3,0	450->110
2,0,3,1	451->326
2,0,3,2	452->542
2,0,3,3	453->758
2,0,3,4	454->974
2,0,3,5	455->1190
2,0,4,0	456->146
2,0,4,1	457->362
2,0,4,2	458->578
2,0,4,3	459->794
2,0,4,4	460->1010
2,0,4,5	461->1226
2,0,5,0	462->182
2,0,5,1	463->398
2,0,5,2	464->614
2,0,5,3	465->830
2,0,5,4	466->1046
2,0,5,5	467->1262
2,1,0,0	468->8
2,1,0,1	469->224
2,1,0,2	470->440
2,1,0,3	471->656
2,1,0,4	472->872
2,1,0,5	473->1088
2,1,1,0	474->44
2,1,1,1	475->260
2,1,1,2	476->476
2,1,1,3	477->692
2,1,1,4	478->908
2,1,1,5	479->1124
2,1,2,0	480->80
2,1,2,1	481->296
2,1,2,2	482->512
2,1,2,3	483->728
2,1,2,4	484->944
